Kacang arab kering,biji bijian,single,330,23.8,1.4,60.2,17.4
Kacang belimbing (kecipir) kering,biji bijian,single,400,34.4,16.9,34.1,10.7
Kacang bogor kering,biji bijian,single,370,16,6,65,26.3
Kacang bogor segar,biji bijian,single,165,7.7,3.1,27.4,2.5
Kacang endel biji kering,biji bijian,single,331,25,1,58,23.6
Kacang ercis segar,biji bijian,single,129,12.4,0.7,18.3,28.6
Kacang gude biji kering,biji bijian,single,316,20.7,1,58,4.6
Kacang gude biji segar,biji bijian,single,114,7,0.6,20.8,4.4
Kacang hijau var bakti kering,biji bijian,single,350,17.1,1.8,70.7,5.7
Kacang hijau var siwalik kering,biji bijian,single,339,20.8,2.1,64.6,7.4
Kacang hijau kering,biji bijian,single,323,22.9,1.5,56.8,7.5
Kacang hitam kering,biji bijian,single,346,16.6,1.7,66.1,22.8
Kacang kapri segar,biji bijian,single,98,6.7,0.4,17.7,6.2
Kacang kedelai kering,biji bijian,single,381,40.4,16.7,24.9,3.2
Kacang kedelai segar,biji bijian,single,286,30.2,15.6,30.1,2.9
Kacang komak segar,biji bijian,single,327,16.4,4.3,55.8,0.5
Kacang kuning kering,biji bijian,single,355,17,2.5,66,15.1
Kacang lebui /iris kering,biji bijian,single,346,16.5,1.5,66.6,37.3
Kacang mentega kering,biji bijian,single,344,16.7,2.1,64.6,13
Kacang merah /banda kering,biji bijian,single,350,13.9,3,66.9,26.3
Kacang merah tua kering,biji bijian,single,280,16.7,1.6,63.2,4.6
Kacang merah kering,biji bijian,single,314,22.1,1.1,56.2,4
Kacang merah segar,biji bijian,single,171,11,2.2,28,2.1
Kacang mete/biji jambu monyet segar,biji bijian,single,616,16.3,48.4,28.7,0.9
Kacang panjang biji kering,biji bijian,single,357,17.3,1.5,68.6,10.6
Kacang tanah sangan,biji bijian,single,560,29.5,43,24.1,2.9
Kacang tanah sangan tanpa selaput,biji bijian,single,559,26.9,44.2,23.6,2.6
Kacang tanah kering,biji bijian,single,525,27.9,42.7,17.4,2.4
Kacang tolo / tunggak kering,biji bijian,single,331,24.4,1.9,56.6,1.6
Kacang tunis kering,biji bijian,single,351,12.2,1.2,72.9,29.5
Kacang uci kering,biji bijian,single,358,23.4,2.4,60.6,7.4
Kacang urei kering,biji bijian,single,354,12.8,1.8,69.3,26.1
Komak polong segar,biji bijian,single,99,3.3,0.1,21.2,10.3
Koro andong kering,biji bijian,single,356,20.5,4.1,61.6,7
Koro benguk biji kering,biji bijian,single,332,24,3,55,5.6
Koro kerupuk biji segar,biji bijian,single,125,8.3,0.7,22.1,2.2
Koro loke biji segar,biji bijian,single,33,2.7,0.2,7.9,3.5
Koro roay kering,biji bijian,single,344,12.5,2.1,69.4,7.5
Koro wedus biji kering,biji bijian,single,338,22.2,1.5,61,5.8
Lamtoro biji muda segar,biji bijian,single,85,5.7,0.3,15.4,10.8
Lamtoro biji tua segar,biji bijian,single,148,10.6,0.5,26.2,17
Lamtoro var gung tanpa kulit,biji bijian,single,367,46.4,5.4,32.5,2.6
